;SKU;Faturamento
580;8.05.76.03.10;5006.41
581;6.28.60.10.114;4998.0
582;8.12.01.02.06;4987.21
583;21.14.46.402.12;4972.54
584;8.09.03.100.01;4967.75
585;8.09.76.28.01;4961.8
586;6.30.162.02.08;4941.0199999999995
587;8.06.23.08.11;4936.2
588;24.69.163.70.00;4930.0
589;8.09.01.13.01;4927.0
590;8.30.74.06.06;4898.0
591;8.04.04.16.07;4889.2
592;24.56.66.483.00;4885.55
593;6.28.60.14.72;4878.9
594;8.09.76.24.11;4873.9
595;8.67.23.01.07;4860.5
596;24.52.159.28.00;4827.98
597;24.52.159.54.01;4827.610000000001
598;8.60.171.11.18;4820.3
599;8.05.70.01.10;4778.5
600;8.07.04.41.01;4769.6
601;24.50.66.711.00;4767.299999999999
602;8.09.02.18.01;4764.65
603;21.14.50.1013.00;4747.7
604;24.11.159.49.00;4724.51
605;24.57.66.236.00;4693.45
606;24.55.66.522.00;4692.16
607;8.06.54.01.01;4676.31
608;8.09.01.27.35;4672.81
609;8.09.01.78.01;4638.8
610;21.14.50.492.00;4635.8099999999995
611;8.07.04.36.01;4624.51
612;24.56.66.376.04;4603.72
613;24.52.66.194.04;4562.83
614;21.14.50.1052.00;4552.66
615;6.28.25.173.69;4551.0
616;8.09.03.112.10;4545.3
617;21.14.46.248.06;4539.5
618;23.45.55.01.00;4537.0
619;8.25.02.07.01;4530.64
620;8.09.01.89.01;4529.700000000001
621;21.14.50.466.00;4524.38
622;24.11.175.33.06;4508.679999999999
623;8.07.76.17.08;4493.924
624;24.52.66.44.00;4486.6
625;8.09.76.73.01;4482.0
626;8.24.91.02.00;4469.08
627;8.09.53.37.00;4467.5
628;24.57.66.06.00;4465.54
629;24.11.175.85.01;4452.13
630;8.09.28.69.00;4448.700000000001
631;8.04.04.17.01;4441.099999999999
632;21.14.50.462.00;4418.86
633;8.25.01.22.18;4403.66
634;21.14.50.1365.57;4385.3
635;8.07.76.15.07;4380.095
636;8.06.01.05.27;4372.32
637;24.56.66.605.10;4368.2
638;24.10.159.286.01;4363.17
639;8.03.23.03.57;4360.6
640;8.04.76.06.11;4356.21
641;8.06.04.21.18;4339.8
642;24.10.159.372.01;4339.34
643;8.06.03.15.10;4331.73
644;24.57.66.186.00;4327.1
645;8.05.53.06.00;4326.3
646;8.07.53.12.01;4319.6
647;21.14.50.29.00;4317.41
648;24.55.66.539.00;4307.799999999999
649;8.03.02.25.01;4299.0
650;8.03.01.07.27;4289.5
651;24.56.66.589.10;4264.349999999999
652;8.09.01.06.10;4264.12
653;8.25.101.05.11;4245.61
654;24.54.159.21.00;4220.12
655;24.52.159.90.00;4218.89
656;8.06.23.10.01;4192.1900000000005
657;24.10.159.157.00;4171.400000000001
658;8.07.04.27.90;4157.4
659;24.10.159.328.00;4153.75
660;24.10.159.311.06;4153.7
661;8.09.53.30.10;4148.1
662;24.11.159.82.04;4146.34
663;21.40.50.34.00;4132.12
664;8.60.171.10.18;4130.9
665;8.09.23.65.10;4117.9
666;24.54.66.101.00;4113.04
667;24.55.66.531.00;4104.7
668;8.09.39.23.01;4075.3399999999997
669;8.09.04.98.08;4074.31
670;8.25.02.06.06;4062.12
671;6.30.162.04.18;4060.98
672;8.10.23.01.06;4054.2
673;21.14.50.306.00;4038.3199999999997
674;8.01.71.03.10;4038.2
675;8.07.01.02.01;4036.88
676;8.06.03.14.06;4027.7999999999997
677;8.24.58.23.06;4021.05
678;8.04.53.16.10;3998.0
679;8.09.93.02.01;3966.0
680;8.07.76.09.11;3963.9
681;21.40.50.58.00;3961.1099999999997
682;8.06.01.16.07;3958.7
683;8.30.33.30.00;3953.76
684;8.09.03.124.01;3947.7000000000003
685;24.54.66.320.00;3941.2599999999998
686;8.09.04.70.68;3939.8
687;8.04.23.15.01;3936.9
688;24.11.175.159.57;3936.75
689;24.54.66.70.08;3933.32
690;24.11.175.49.57;3919.5299999999997
691;6.28.60.15.11;3915.9
692;8.07.32.46.00;3912.0
693;24.57.66.493.00;3904.3000000000006
694;24.10.159.158.01;3898.42
695;21.14.50.1353.06;3874.81
696;8.01.74.17.10;3869.2
697;8.30.33.29.00;3862.86
698;24.70.159.04.06;3857.56
699;8.06.23.07.01;3857.1
700;8.60.131.07.57;3847.0
701;8.01.01.20.10;3846.5
702;8.30.33.32.00;3841.27
703;8.25.92.19.00;3839.3999999999996
704;21.14.50.499.00;3820.65
705;8.02.23.03.01;3819.55
706;24.54.159.39.00;3811.31
707;21.14.50.493.00;3805.5
708;8.29.01.02.27;3802.6200000000003
709;8.09.04.112.01;3799.7000000000003
710;24.54.159.74.00;3796.355
711;24.57.66.396.00;3794.35
712;24.52.159.53.00;3791.49
713;6.28.25.152.01;3790.9
714;24.10.159.464.18;3789.5
715;8.30.33.28.00;3783.88
716;24.69.163.73.00;3783.0
717;24.55.66.533.04;3778.5
718;24.57.163.07.00;3757.16
